web_scraper_order,web_scraper_start_url,data,data2,data3,item_page_title,item_page_link
"1778945017-1","https://archive.ics.uci.edu/dataset/256/daily+and+sports+activities","Batch Self Organizing maps for distributional data with automatic weighting of variables and components","By Antonio Irpino, Francisco Carvalho, Rosanna Verde, Antonio Balzanella. 2018","Published in","Batch Self Organizing maps for distributional data with automatic weighting of variables and components","https://api.semanticscholar.org/CorpusID:88523069"
"1778945017-2","https://archive.ics.uci.edu/dataset/256/daily+and+sports+activities","Multi-View Time Series Classification: A Discriminative Bilinear Projection Approach","By Sheng Li, Yaliang Li, Yun Fu. 2016","Published in CIKM '16.","Multi-View Time Series Classification: A Discriminative Bilinear Projection Approach","https://api.semanticscholar.org/CorpusID:11242334"
"1778945017-3","https://archive.ics.uci.edu/dataset/256/daily+and+sports+activities","Sparse Fisher's discriminant analysis with thresholded linear constraints","By Ruiyan Luo, Xin Qi. 2015","Published in","Sparse Fisher's discriminant analysis with thresholded linear constraints","https://api.semanticscholar.org/CorpusID:88514360"
