web_scraper_order,web_scraper_start_url,data,data2,data3,item_page_title,item_page_link
"1778945167-1","https://archive.ics.uci.edu/dataset/176/blood+transfusion+service+center","Batch Active Learning Using Determinantal Point Processes","By Erdem Biyik, Kenneth Wang, Nima Anari, Dorsa Sadigh. 2019","Published in ArXiv.","Batch Active Learning Using Determinantal Point Processes","https://api.semanticscholar.org/CorpusID:195069132"
"1778945167-2","https://archive.ics.uci.edu/dataset/176/blood+transfusion+service+center","A Similarity Classifier with Bonferroni Mean Operators","By Onesfole Kurama, Pasi Luukka, Mikael Collan. 2016","Published in Adv. Fuzzy Systems.","A Similarity Classifier with Bonferroni Mean Operators","https://api.semanticscholar.org/CorpusID:20398354"
"1778945167-3","https://archive.ics.uci.edu/dataset/176/blood+transfusion+service+center","Kernel-Based Just-In-Time Learning for Passing Expectation Propagation Messages","By Wittawat Jitkrittum, Arthur Gretton, Nicolas Heess, S. Eslami, Balaji Lakshminarayanan, Dino Sejdinovic, Zolt'an Szab'o. 2015","Published in ArXiv.","Kernel-Based Just-In-Time Learning for Passing Expectation Propagation Messages","https://api.semanticscholar.org/CorpusID:769926"
"1778945167-4","https://archive.ics.uci.edu/dataset/176/blood+transfusion+service+center","© 2010 Science Publications Application of CART Algorithm in Blood Donors Classification","By T. Santhanam, Shyam Sundaram. 2010","Published in Journal of Computer Science.","© 2010 Science Publications Application of CART Algorithm in Blood Donors Classification","https://api.semanticscholar.org/CorpusID:61644643"
