web_scraper_order,web_scraper_start_url,pagination,data,data2,data3,item_page_title,item_page_link
"1778944835-1","https://archive.ics.uci.edu/dataset/76/nursery","","Kernel and Range Approach to Analytic Network Learning","By Kar-Ann Toh. 2018","Published in IJNDC.","Kernel and Range Approach to Analytic Network Learning","https://api.semanticscholar.org/CorpusID:162169162"
"1778944835-2","https://archive.ics.uci.edu/dataset/76/nursery","","A Hybrid Approach to Privacy-Preserving Federated Learning","By Stacey Truex, Nathalie Baracaldo, Ali Anwar, Thomas Steinke, Heiko Ludwig, Rui Zhang, Yi Zhou. 2018","Published in ArXiv.","A Hybrid Approach to Privacy-Preserving Federated Learning","https://api.semanticscholar.org/CorpusID:54460482"
"1778944835-3","https://archive.ics.uci.edu/dataset/76/nursery","","Learning from the Kernel and the Range Space","By Kar-Ann Toh. 2018","Published in ArXiv.","Learning from the Kernel and the Range Space","https://api.semanticscholar.org/CorpusID:53047528"
"1778944835-4","https://archive.ics.uci.edu/dataset/76/nursery","","Privately Evaluating Decision Trees and Random Forests","By David Wu, Tony Feng, Michael Naehrig, Kristin Lauter. 2016","Published in PoPETs.","Privately Evaluating Decision Trees and Random Forests","https://api.semanticscholar.org/CorpusID:6942138"
"1778944835-5","https://archive.ics.uci.edu/dataset/76/nursery","","On the Detection of Concept Changes in Time-Varying Data Stream by Testing Exchangeability","By Shen-Shyang Ho, Harry Wechsler. 2012","Published in ArXiv.","On the Detection of Concept Changes in Time-Varying Data Stream by Testing Exchangeability","https://api.semanticscholar.org/CorpusID:11251527"
"1778944835-6","https://archive.ics.uci.edu/dataset/76/nursery","","Multi-classification by categorical features via clustering","By Yevgeny Seldin, Naftali Tishby. 2008","Published in ICML '08.","Multi-classification by categorical features via clustering","https://api.semanticscholar.org/CorpusID:404764"
"1778944835-7","https://archive.ics.uci.edu/dataset/76/nursery","","Enhancing Privacy in Remote Data Classification","By Alessandro Piva, Claudio Orlandi, M. Caini, Tiziano Bianchi, Mauro Barni. 2008","Published in SEC.","Enhancing Privacy in Remote Data Classification","https://api.semanticscholar.org/CorpusID:17324266"
"1778944835-8","https://archive.ics.uci.edu/dataset/76/nursery","","On reoptimizing multi-class classifiers","By Chris Bourke, Kun Deng, Stephen Scott, Robert Schapire, N. Vinodchandran. 2008","Published in Machine Learning.","On reoptimizing multi-class classifiers","https://api.semanticscholar.org/CorpusID:10467082"
"1778944835-9","https://archive.ics.uci.edu/dataset/76/nursery","","Attribute Value Weighting in K-Modes Clustering","By Zengyou He, Xaiofei Xu, Shengchun Deng. 2007","Published in ArXiv.","Attribute Value Weighting in K-Modes Clustering","https://api.semanticscholar.org/CorpusID:7625608"
